name,country,count
"BJOERNDALEN, Ole Einar",NOR,13
"DAEHLIE, Björn",NOR,12
"BELMONDO, Stefania",ITA,10
"PECHSTEIN, Claudia",GER,9
"JERNBERG, Sixten",SWE,9
"BJOERGEN, Marit",NOR,9
"SMETANINA, Raisa",URS,9
"DISL, Uschi",GER,9
"KULAKOVA, Galina",URS,8
"GROSS, Ricco",GER,8
